§1.1|Record bootstrap as database import sessions|The ordered bootstrap (Nix, envctl, Nu, CodeDB, importers, migration utilities) must be recorded as PostgreSQL/RuVector import sessions from its first byte, capturing raw bytes with complete structure, semantics, metadata, history, identity, ownership, timestamps, transformations, and provenance.|codedb-ingress|postgres-ruvector-store,envctl-committer-security|Verify import sessions exist in DB covering bootstrap from first byte; TBD query
§1.1|Gate bootstrap completion on zero-undeclared-loss reconstruction|Bootstrap completes only when PostgreSQL/RuVector governs operational execution and can reconstruct the imported host state with zero undeclared loss.|byte-capture-reconciliation|postgres-ruvector-store,codedb-ingress|Run reconstruction of imported host state and diff against source; zero undeclared loss
§1.2|no action — descriptive/constraint|After cutover all work is inside PostgreSQL/RuVector; every controlled surface (LifeOS, Codex, Claude, Yazelix, rtk, redb, envctl, Git, runners, models, etc.) consumes database-issued state/policy/authorization/branch/task/lease and returns complete evidence and results.|postgres-ruvector-store|none|TBD
§2|Store raw bytes beside every derived representation|The host ALL-data contract requires storing every repository, byte, semantic record, metadata, task, model I/O, and secret-audit record; SHA-256/SHAKE256 digests, manifests, pointers, indexes, vectors, graphs, and provenance locate and verify bytes but never substitute for them; chunked/compressed/quantized/summarized forms are linked while originals remain durably present.|data-schema|postgres-ruvector-store,codedb-ingress|Sample derived records and verify linked original raw bytes are retrievable byte-exact
§3.1|Migrate LifeOS frontend from Vue to Svelte|The target Glass is an ultra-lightweight Tauri 2/Svelte shell; the current pinned checkout is Vue/Tauri with none of the terminal integration. The Svelte migration is release-blocking work.|glass-engine-frontdoor|none|Pinned checkout builds a Svelte (not Vue) shell; release gate
§3.1|Implement Tauri PTY controller with exact yzx argv|Build a Tauri Rust PTY controller using portable-pty 0.9.0 running the Nix-pinned argv `yzx enter options --session-name <database-derived-name> --attach-to-session true --on-force-close detach`; it owns the master handle, forwards input/resize, streams ordered byte-array frames to xterm.js, and records start, attach/create, resize, input, output, exit, signal, and error frames.|glass-engine-frontdoor|nix-release-gate,postgres-ruvector-store|Exact-argv test passes (named release-blocking); PTY frames recorded
§3.1|Wire xterm.js rendering stack over ordered IPC channels|Use `@xterm/xterm` with `@xterm/addon-fit` and `@xterm/addon-webgl` in the Svelte pane; PTY bytes travel over ordered Tauri IPC channels, not Tauri global events (events are JSON and reserved for small control notices).|glass-engine-frontdoor|none|Inspect frontend: PTY output uses ordered channels; xterm addons present
§3.1|Pin terminal-stack versions before activation|Exact frontend/addon versions must be frozen in the Bun lock and the `portable-pty` crate pinned in Cargo/Nix before activation.|nix-release-gate|glass-engine-frontdoor|Check bun.lock and Cargo/Nix pins for xterm addons and portable-pty 0.9.0
§3.1|Bind PTY session name to database identity|The database-derived session name binds tenant/session/branch identity so a restarted Glass reconnects to the same Engine Room.|glass-engine-frontdoor|postgres-ruvector-store|Restart Glass and verify reattachment to the same Zellij session
§3.1|Render live sidebar from database-backed state|The Glass left sidebar must project live agents, per-agent `.rvf` memory pressure, tasks, sessions, Git state, and PostgreSQL/RuVector branch state.|glass-engine-frontdoor|redb-state-plane,ruvllm-agentdb-rvf-integration|Sidebar shows agents, .rvf pressure, tasks, Git, branch state from live projection
